models_tfn,score_tfn,std_tfn,r2_score_tfn,score_top10fn,std_top10fn,r2_score_top10fn,score_score_top10fn_v1,std_score_top10fn_v1,r2_score_score_top10fn_v1,score_v1,std_v1,r2_score_v1,score_v1,std_v1,r2_score_v1
RandomForestRegressor,0.1492921114585025,0.0064136981927406,0.8480030650083072,0.1636178902413149,0.0083887160408957,0.831899282318024,0.1430825908011791,0.016050176073266,0.8702887607912413,0.1430825908011791,0.016050176073266,0.8702887607912413,0.14308259080117913,0.016050176073266025,0.8702887607912413
ExtraTreesRegressor,0.1443671229400343,0.0093197361117976,0.8573863296836037,0.1628584564805187,0.0095853484810713,0.8433885625258819,0.1479214447242719,0.016274170041452,0.8691737055130673,0.1479214447242719,0.016274170041452,0.8691737055130673,0.1479214447242719,0.01627417004145205,0.8691737055130673
GradientBoostingRegressor,0.1355226922559209,0.010297675125669,0.8759832528219995,0.1578122333713269,0.0091902769075456,0.8553357809441181,0.1420449283495614,0.0125614261120667,0.8756675691311939,0.1420449283495614,0.0125614261120667,0.8756675691311939,0.1420449283495614,0.012561426112066733,0.8756675691311939
AdaBoostRegressor,0.2033933684678242,0.0094734144509356,0.7988082082573462,0.213400378079234,0.0100811836365986,0.7830395184792128,0.1902003711590264,0.023493676438623,0.8239133322986589,0.1902003711590264,0.023493676438623,0.8239133322986589,0.19020037115902647,0.02349367643862307,0.8239133322986589
LGBMRegressor,0.142046504613237,0.0087891010886308,0.8569159869905931,0.1623225684080425,0.0120128536302763,0.831349441997547,0.1451115086624779,0.0153613354713273,0.8674499612365523,0.1451115086624779,0.0153613354713273,0.8674499612365523,0.14511150866247793,0.015361335471327328,0.8674499612365523
XGBRegressor,0.1482213082113913,0.0097851570042007,0.8682024985820085,0.1695141202922986,0.0119710517508915,0.832436751629692,0.1533143699536611,0.0180571116595071,0.845900188425172,0.1533143699536611,0.0180571116595071,0.845900188425172,0.15331436995366116,0.018057111659507154,0.845900188425172
HistGradientBoostingRegressor,0.1413094006373991,0.007088902115529,0.8598099029575321,0.1611598443442265,0.0121971384403444,0.8364068695405734,0.146525992706851,0.0145909066885337,0.8702386895202933,0.146525992706851,0.0145909066885337,0.8702386895202933,0.14652599270685102,0.014590906688533772,0.8702386895202933
BaggingRegressor,0.156275561241223,0.0083999130244094,0.842939230787378,0.1676138981537127,0.0083526494360411,0.8254936718630981,0.1475404795354373,0.0174632617250016,0.8656154843052283,0.1475404795354373,0.0174632617250016,0.8656154843052283,0.14754047953543734,0.017463261725001653,0.8656154843052283
